CPRO,CMUN,NOMBRE,PROVINCIA,Poblacion_2026,renta_2026,score_total
08,191,Sallent,Barcelona,6886.0,18.044,0.34736163025903916
08,183,Roda de Ter,Barcelona,6861.0,18.044,0.3471203108624755
08,198,Sant Antoni de Vilamajor,Barcelona,6857.0,18.044,0.34708169975902536
08,075,Dosrius,Barcelona,6152.0,18.044,0.3402764927759315
20,902,Lasarte-Oria,Gipuzkoa,19486.0,20.335,0.3301194186270995
28,075,Loeches,Madrid,9428.0,19.096,0.3081328227085238
31,077,Corella,Navarra,8837.0,19.181,0.2972758231220358
31,902,Berrioplano/Berriobeiti,Navarra,8063.0,19.181,0.2898045746044264
28,059,Fuente el Saz de Jarama,Madrid,7417.0,19.096,0.2887210904489469
28,067,Guadalix de la Sierra,Madrid,7093.0,19.096,0.28559359106948246
20,903,Astigarraga,Gipuzkoa,8446.0,20.335,0.22355277310460853
20,051,Legazpi,Gipuzkoa,8236.0,20.335,0.22152569017347418
20,061,Orio,Gipuzkoa,6280.0,20.335,0.20264486058633718
20,072,Urnieta,Gipuzkoa,6153.0,20.335,0.20141895805179405
